Loading dataset...
Initializing model...
Starting training...
trainable params: 5,898,240 || all params: 4,028,366,336 || trainable%: 0.1464
총 300개의 JSON 파일을 로드합니다.
총 300개의 JSON 파일이 성공적으로 로드되었습니다.
총 학습 스텝 수: 15000
[E1] step 5850 loss 0.0432
[E1] step 5860 loss 0.2807
[E1] step 5870 loss 0.3993
[E1] step 5880 loss 0.3425
[E1] step 5890 loss 1.6139
[E1] step 5900 loss 2.2481
[E1] step 5910 loss 1.4403
[E1] step 5920 loss 0.2478
[E1] step 5930 loss 1.3660
[E1] step 5940 loss 1.8791
[E1] step 5950 loss 0.6220
[E1] step 5960 loss 0.0200
[E1] step 5970 loss 1.3787
[E1] step 5980 loss 1.5502
[E1] step 5990 loss 0.3108
[E1] step 6000 loss 0.0041
[E1] step 6010 loss 0.0843
[E1] step 6020 loss 1.1264
[E1] step 6030 loss 0.2218
[E1] step 6040 loss 0.6725
[E1] step 6050 loss 0.8457
[E1] step 6060 loss 0.1440
[E1] step 6070 loss 1.0524
[E1] step 6080 loss 2.5755
[E1] step 6090 loss 4.9133
[E1] step 6100 loss 0.0227
[E1] step 6110 loss 0.7646
[E1] step 6120 loss 0.8983
[E1] step 6130 loss 1.5922
[E1] step 6140 loss 1.2744
[E1] step 6150 loss 0.3010
[E1] step 6160 loss 0.8441
[E1] step 6170 loss 0.7661
[E1] step 6180 loss 1.1800
[E1] step 6190 loss 0.2095
[E1] step 6200 loss 1.3813
[E1] step 6210 loss 5.2459
[E1] step 6220 loss 0.3324
[E1] step 6230 loss 0.8496
[E1] step 6240 loss 4.8104
[E1] step 6250 loss 0.3940
[E1] step 6260 loss 0.4252
[E1] step 6270 loss 0.0551
[E1] step 6280 loss 0.9378
[E1] step 6290 loss 0.0046
[E1] step 6300 loss 0.7557
[E1] step 6310 loss 0.5709
[E1] step 6320 loss 0.5206
[E1] step 6330 loss 0.9386
[E1] step 6340 loss 0.3264
[E1] step 6350 loss 0.4517
[E1] step 6360 loss 0.4744
[E1] step 6370 loss 0.1706
[E1] step 6380 loss 0.3974
[E1] step 6390 loss 0.6168
[E1] step 6400 loss 0.2892
[E1] step 6410 loss 0.7296
[E1] step 6420 loss 0.7010
[E1] step 6430 loss 0.1222
[E1] step 6440 loss 0.8309
[E1] step 6450 loss 0.0260
[E1] step 6460 loss 0.0546
[E1] step 6470 loss 0.4208
[E1] step 6480 loss 0.0389
[E1] step 6490 loss 0.0515
[E1] step 6500 loss 0.2090
[E1] step 6510 loss 1.0205
[E1] step 6520 loss 0.1042
[E1] step 6530 loss 1.6461
[E1] step 6540 loss 0.7015
[E1] step 6550 loss 0.3927
[E1] step 6560 loss 1.6599
[E1] step 6570 loss 0.5157
[E1] step 6580 loss 0.7369
[E1] step 6590 loss 0.4302
[E1] step 6600 loss 0.0605
[E1] step 6610 loss 2.9322
[E1] step 6620 loss 0.6064
[E1] step 6630 loss 0.7236
[E1] step 6640 loss 2.7490
[E1] step 6650 loss 0.5761
[E1] step 6660 loss 0.0669
[E1] step 6670 loss 0.5914
[E1] step 6680 loss 1.3343
[E1] step 6690 loss 0.0357
[E1] step 6700 loss 0.4604
[E1] step 6710 loss 0.9543
[E1] step 6720 loss 0.4870
[E1] step 6730 loss 0.6766
[E1] step 6740 loss 0.0060
[E1] step 6750 loss 1.6646
[E1] step 6760 loss 1.0075
[E1] step 6770 loss 0.4420
[E1] step 6780 loss 2.5172
[E1] step 6790 loss 1.2673
[E1] step 6800 loss 0.0561
[E1] step 6810 loss 0.4962
[E1] step 6820 loss 1.1308
[E1] step 6830 loss 0.5811
[E1] step 6840 loss 0.0964
[E1] step 6850 loss 0.1164
[E1] step 6860 loss 0.0841
[E1] step 6870 loss 1.2560
[E1] step 6880 loss 0.3625
[E1] step 6890 loss 0.8534
[E1] step 6900 loss 0.1799
[E1] step 6910 loss 1.5441
[E1] step 6920 loss 0.8221
[E1] step 6930 loss 0.8845
[E1] step 6940 loss 3.8259
[E1] step 6950 loss 0.1445
[E1] step 6960 loss 1.9132
[E1] step 6970 loss 0.0058
[E1] step 6980 loss 0.1551
[E1] step 6990 loss 0.8955
[E1] step 7000 loss 2.2723
[E1] step 7010 loss 1.5463
[E1] step 7020 loss 0.0335
[E1] step 7030 loss 0.7529
[E1] step 7040 loss 0.4934
[E1] step 7050 loss 0.2549
[E1] step 7060 loss 0.8588
[E1] step 7070 loss 0.3076
[E1] step 7080 loss 1.4566
[E1] step 7090 loss 1.2965
[E1] step 7100 loss 0.0674
[E1] step 7110 loss 0.2414
[E1] step 7120 loss 3.2282
[E1] step 7130 loss 1.2930
[E1] step 7140 loss 0.9637
[E1] step 7150 loss 0.2132
[E1] step 7160 loss 2.0442
[E1] step 7170 loss 0.1531
[E1] step 7180 loss 2.0078
[E1] step 7190 loss 0.0384
[E1] step 7200 loss 1.4192
[E1] step 7210 loss 1.4759
[E1] step 7220 loss 0.3043
[E1] step 7230 loss 0.9731
[E1] step 7240 loss 0.7218
[E1] step 7250 loss 0.4031
[E1] step 7260 loss 1.4008
[E1] step 7270 loss 0.9546
[E1] step 7280 loss 0.6298
[E1] step 7290 loss 1.0990
[E1] step 7300 loss 0.3110
[E1] step 7310 loss 0.6457
[E1] step 7320 loss 0.7231
[E1] step 7330 loss 0.8046
[E1] step 7340 loss 1.5068
[E1] step 7350 loss 0.7848
[E1] step 7360 loss 0.5181
[E1] step 7370 loss 0.0026
[E1] step 7380 loss 1.9412
[E1] step 7390 loss 0.3189
[E1] step 7400 loss 0.5358
[E1] step 7410 loss 0.0110
[E1] step 7420 loss 0.1254
[E1] step 7430 loss 0.2592
[E1] step 7440 loss 6.4659
[E1] step 7450 loss 1.1622
[E1] step 7460 loss 1.3032
[E1] step 7470 loss 1.1447
[E1] step 7480 loss 0.4574
[E1] step 7490 loss 2.1015
[E1] step 7500 loss 2.3460
[E1] step 7510 loss 0.5287
[E1] step 7520 loss 0.3515
[E1] step 7530 loss 0.1101
[E1] step 7540 loss 0.1487
[E1] step 7550 loss 1.4159
[E1] step 7560 loss 0.1212
[E1] step 7570 loss 0.5474
[E1] step 7580 loss 0.1871
[E1] step 7590 loss 0.1952
[E1] step 7600 loss 0.4209
[E1] step 7610 loss 0.7245
[E1] step 7620 loss 1.1072
[E1] step 7630 loss 0.4256
[E1] step 7640 loss 1.1786
[E1] step 7650 loss 0.3193
[E1] step 7660 loss 0.2284
[E1] step 7670 loss 0.1063
[E1] step 7680 loss 2.7784
[E1] step 7690 loss 1.8550
[E1] step 7700 loss 0.0908
[E1] step 7710 loss 0.3783
[E1] step 7720 loss 4.1292
[E1] step 7730 loss 0.0042
[E1] step 7740 loss 0.2159
[E1] step 7750 loss 0.1738
[E1] step 7760 loss 1.4593
[E1] step 7770 loss 0.5879
[E1] step 7780 loss 0.8079
[E1] step 7790 loss 0.0612
[E1] step 7800 loss 0.0110
[E1] step 7810 loss 0.5460
[E1] step 7820 loss 1.4541
[E1] step 7830 loss 0.5385
[E1] step 7840 loss 1.5316
[E1] step 7850 loss 0.2125
[E1] step 7860 loss 1.1123
[E1] step 7870 loss 0.2617
[E1] step 7880 loss 0.0089
[E1] step 7890 loss 0.2084
[E1] step 7900 loss 0.3319
[E1] step 7910 loss 0.1031
[E1] step 7920 loss 0.3267
